dwell_time_total,context,country,country_name,weight,age,age_group,gender,q06_vote,q01_currently_distributed,q03_household_income,q02_should_distributed,q04_household_size,q05_income,q05_income_group,q08_gap,q13_responsibility_govt,q14_live,q15_education
1524,2,ES,Spain,1.3622419429943156,35_54,3,2,19,3,3,3,4,NA,NA,NA,NA,NA,NA
13,2,ES,Spain,2.18160214821541,55_and_over,4,2,16,3,2,NA,NA,NA,NA,NA,NA,NA,NA
33,3,ES,Spain,1.38016368045989,55_and_over,4,1,19,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,2,ES,Spain,0.8618055566446141,35_54,3,1,20,1,2,1,NA,NA,NA,NA,NA,NA,NA
NA,3,ES,Spain,1.3622419429943156,35_54,3,2,13,2,3,5,5,NA,NA,NA,NA,NA,NA
NA,2,ES,Spain,2.18160214821541,55_and_over,4,2,16,5,3,5,2,330,1,4,4,2,16
42,2,ES,Spain,2.18160214821541,55_and_over,4,2,20,6,4,NA,NA,NA,NA,NA,NA,NA,NA
203,2,ES,Spain,0.8618055566446141,35_54,3,1,15,1,1,1,1,325,1,1,5,3,16
286,3,ES,Spain,0.8618055566446141,35_54,3,1,19,5,4,5,4,336,1,2,6,4,12
250,3,ES,Spain,0.7212800061246206,18_34,2,2,16,1,3,6,4,336,1,2,NA,NA,NA
138,3,ES,Spain,0.7212800061246206,18_34,2,2,20,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2,ES,Spain,0.8618055566446141,35_54,3,1,20,6,5,6,8,356,1,NA,NA,NA,NA
411,2,ES,Spain,1.3622419429943156,35_54,3,2,20,1,2,1,NA,NA,NA,NA,NA,NA,NA
414,2,ES,Spain,1.3622419429943156,35_54,3,2,20,1,2,1,NA,NA,NA,NA,NA,NA,NA
88,3,ES,Spain,0.45630889606036246,18_34,2,1,18,2,1,2,NA,NA,NA,NA,NA,NA,NA
57,2,ES,Spain,0.7212800061246206,18_34,2,2,20,3,3,4,2,330,1,NA,NA,NA,NA
2388,2,ES,Spain,0.45630889606036246,18_34,2,1,16,2,3,3,4,338,1,2,2,NA,NA
2220,2,ES,Spain,1.3622419429943156,35_54,3,2,20,6,5,6,1,321,1,1,1,4,13
NA,2,ES,Spain,0.45630889606036246,18_34,2,1,17,4,3,3,2,NA,NA,NA,NA,NA,NA
172,2,ES,Spain,0.45630889606036246,18_34,2,1,20,4,3,5,2,326,1,1,6,NA,14
NA,2,ES,Spain,0.8618055566446141,35_54,3,1,16,2,4,4,5,341,1,2,2,2,15
388,3,ES,Spain,0.7212800061246206,18_34,2,2,15,2,4,5,4,336,1,1,1,1,14
77,2,ES,Spain,0.8618055566446141,35_54,3,1,20,6,5,6,8,360,1,5,6,4,16
NA,2,ES,Spain,1.3622419429943156,35_54,3,2,13,3,3,6,3,333,1,NA,NA,NA,NA
63,3,ES,Spain,1.3622419429943156,35_54,3,2,20,6,5,6,8,360,1,3,6,NA,NA
20,2,ES,Spain,0.45630889606036246,18_34,2,1,13,3,4,2,7,355,1,3,NA,NA,NA
